threshold,precision,recall,specificity,f1,predicted_positive_rate,false_positives,false_negatives,total_cost,cost_per_client
0.365,0.5877949183303085,0.48803917875306085,0.9027874378042908,0.5332921683647216,0.18366666666666667,1817,2718,15407.0,0.6419583333333333
0.37,0.5923787528868361,0.48314183462045585,0.9055695254400513,0.5322128851540616,0.18041666666666667,1765,2744,15485.0,0.6452083333333334
0.375,0.5996200427451912,0.4756074590318327,0.9097961585789952,0.5304621848739496,0.17545833333333333,1686,2784,15606.0,0.65025
0.38,0.6078048780487805,0.4693915991712187,0.913969290032636,0.5297056010202997,0.17083333333333334,1608,2817,15693.0,0.653875
0.385,0.614048150905932,0.4660011301563383,0.9168048793536996,0.5298779181837653,0.167875,1555,2835,15730.0,0.6554166666666666
0.39,0.6178553363682348,0.4601619890751554,0.9191589535070355,0.5274749001403433,0.16475,1511,2866,15841.0,0.6600416666666666
0.395,0.6204323211528564,0.4541344886042569,0.9210850141779466,0.5244154431756389,0.16191666666666665,1475,2898,15965.0,0.6652083333333333
0.4,0.6254268452850014,0.4484837069127896,0.9237065967577979,0.5223782360684511,0.158625,1426,2928,16066.0,0.6694166666666667
0.40499999999999997,0.6287393162393162,0.44339800339046903,0.925632657428709,0.520048602673147,0.156,1390,2955,16165.0,0.6735416666666667
0.41,0.6343648208469055,0.4401958937653042,0.9279332298967418,0.5197375736684088,0.1535,1347,2972,16207.0,0.6752916666666666
0.415,0.6392037600221178,0.43548690902241477,0.9301803006794714,0.5180371947120771,0.15070833333333333,1305,2997,16290.0,0.67875
0.42,0.6421376608841634,0.43228479939724995,0.9315713444973517,0.5167173252279635,0.14891666666666667,1279,3014,16349.0,0.6812083333333333
0.425,0.6448412698412699,0.4285176116029384,0.9329623883152319,0.5148806155935273,0.147,1253,3034,16423.0,0.6842916666666666
0.43,0.6476683937823834,0.423808626860049,0.9345139371890214,0.5123534099965843,0.14475,1224,3059,16519.0,0.6882916666666666
0.435,0.6512850467289719,0.42004143906573743,0.9361189877481141,0.5107065155158594,0.14266666666666666,1194,3079,16589.0,0.6912083333333333
0.44,0.6519810762862212,0.415332454322848,0.9370285163982666,0.5074214704867104,0.14091666666666666,1177,3104,16697.0,0.6957083333333334
0.445,0.6527485731450886,0.40930495385194954,0.9381520517896313,0.5031257235471174,0.13870833333333332,1156,3136,16836.0,0.7015
0.45,0.655982905982906,0.40478432849877566,0.9397036006634208,0.5006406523005241,0.1365,1127,3160,16927.0,0.7052916666666667
0.455,0.6575682382133995,0.3993219061970239,0.940934139425392,0.4968944099378882,0.13433333333333333,1104,3189,17049.0,0.710375
0.46,0.6593544343465998,0.3963081559615747,0.9418436680755444,0.4950588235294118,0.13295833333333335,1087,3205,17112.0,0.713
0.465,0.6638095238095238,0.3938594838952722,0.9433417152640308,0.49438467904007566,0.13125,1059,3218,17149.0,0.7145416666666666
0.47,0.6654861558274308,0.3893388585420983,0.9444117489700926,0.4912655971479501,0.12941666666666668,1039,3242,17249.0,0.7187083333333333
0.475,0.668515497553018,0.38594838952721794,0.9456422877320636,0.48937186529734894,0.12770833333333334,1016,3260,17316.0,0.7215
0.48,0.6720607661822986,0.38331135807119987,0.9468728264940346,0.4881851985126544,0.12616666666666668,993,3274,17363.0,0.7234583333333333
0.485,0.6724482988659106,0.37973252966660387,0.9474613450323686,0.48537378114842905,0.12491666666666666,982,3293,17447.0,0.7269583333333334
0.49,0.6754653130287648,0.37596534187229236,0.9486918837943396,0.4830590513068732,0.123125,959,3313,17524.0,0.7301666666666666
0.495,0.6769441589585474,0.3721981540779808,0.9495479107591889,0.4803111327175498,0.121625,943,3333,17608.0,0.7336666666666667
0.5,0.6811091854419411,0.3701262007911094,0.9507784495211599,0.4796192335855504,0.12020833333333333,920,3344,17640.0,0.735
0.505,0.6847635726795096,0.36824260689395366,0.9518484832272217,0.47893189612934833,0.11895833333333333,900,3354,17670.0,0.73625
0.51,0.6860588861298332,0.36428705970992653,0.952651008506768,0.47588582677165353,0.11745833333333333,885,3375,17760.0,0.74
0.515,0.6887298747763864,0.36259182520248634,0.9534535337863143,0.47507403751233956,0.11645833333333333,870,3384,17790.0,0.74125
0.52,0.6918899348298334,0.35995479374646827,0.9544700658070729,0.4735472679965308,0.11508333333333333,851,3398,17841.0,0.743375
0.525,0.6935779816513762,0.35599924656244114,0.9553260927719223,0.4705003734129948,0.11354166666666667,835,3419,17930.0,0.7470833333333333
0.53,0.6942793462109955,0.352043699378414,0.9559681129955594,0.4671916010498688,0.11216666666666666,823,3440,18023.0,0.7509583333333333
0.535,0.6965828013518588,0.34940666792239594,0.9567706382751057,0.4653788258906172,0.11095833333333334,808,3454,18078.0,0.75325
0.54,0.6968892261001517,0.34601619890751556,0.9572521534428334,0.46242920075519195,0.10983333333333334,799,3472,18159.0,0.756625
0.545,0.6974595842956121,0.3413072141646261,0.9579476753517736,0.458328063740989,0.10825,786,3497,18271.0,0.7612916666666667
0.55,0.7000780031201248,0.3381051045394613,0.9588572040019261,0.45598882255811,0.10683333333333334,769,3514,18339.0,0.764125
0.555,0.7009493670886076,0.33377283857600304,0.9595527259108662,0.45221385734337116,0.10533333333333333,756,3537,18441.0,0.768375
0.56,0.7022382094324541,0.33094744773026935,0.9601412444492001,0.4498783766483165,0.10425,745,3552,18505.0,0.7710416666666666
0.5650000000000001,0.7062169849654611,0.3273686193256734,0.9613182815258681,0.44736164736164735,0.10254166666666667,723,3571,18578.0,0.7740833333333333
0.5700000000000001,0.7061475409836065,0.3245432284799397,0.9616392916376866,0.44470254226351785,0.10166666666666667,717,3586,18647.0,0.7769583333333333
0.5750000000000001,0.7066611501861813,0.3217178376342061,0.9620673051201113,0.4421434118560704,0.10070833333333333,709,3601,18714.0,0.77975
0.5800000000000001,0.7083333333333334,0.32021096251648146,0.9625488202878391,0.44104293682708523,0.1,700,3609,18745.0,0.7810416666666666
0.5850000000000001,0.7096910706728735,0.31587869655302314,0.9632978438820823,0.43717413972888425,0.09845833333333333,686,3632,18846.0,0.78525
0.5900000000000001,0.7096912521440824,0.31173478997928045,0.96377935904981,0.43318937311870176,0.09716666666666667,677,3654,18947.0,0.7894583333333334
0.5950000000000001,0.7117468573905505,0.30928611791297794,0.9644213792734471,0.43119747899159666,0.096125,665,3667,19000.0,0.7916666666666666
0.6000000000000001,0.7148506151142355,0.3064607270672443,0.9652774062382965,0.42900461437046805,0.09483333333333334,649,3682,19059.0,0.794125
0.6050000000000001,0.7163912460920053,0.30212846110378605,0.9660264298325397,0.4250132485426603,0.09329166666666666,635,3705,19160.0,0.7983333333333333
0.6100000000000001,0.718552036199095,0.2991147108683368,0.9667219517414799,0.42239659529192713,0.09208333333333334,622,3721,19227.0,0.801125
0.6150000000000001,0.7204597701149426,0.29515916368430967,0.9674709753357231,0.41876002137894175,0.090625,608,3742,19318.0,0.8049166666666666
0.6200000000000001,0.7182242990654205,0.28950838199284235,0.9677384837622385,0.4126728419922137,0.08916666666666667,603,3772,19463.0,0.8109583333333333
0.6250000000000001,0.7180825818699573,0.28498775663966847,0.9682199989299662,0.4080366774541532,0.08779166666666667,594,3796,19574.0,0.8155833333333333
0.63,0.7184185149469624,0.2806554906762102,0.9687550157829972,0.4036299607205743,0.08641666666666667,584,3819,19679.0,0.8199583333333333
0.635,0.7209416380578715,0.27688830288189864,0.9695575410625434,0.4001088731627654,0.08495833333333333,569,3839,19764.0,0.8235
0.64,0.7187187187187187,0.27048408363156906,0.9699320528596651,0.39304776241959766,0.08325,562,3873,19927.0,0.8302916666666667
0.645,0.7197518097207859,0.2621962704840836,0.9710020865657268,0.38437111694049425,0.08058333333333334,542,3917,20127.0,0.838625
0.65,0.7237539766702015,0.25711056696176304,0.9721256219570916,0.37943015983321754,0.07858333333333334,521,3944,20241.0,0.843375
0.655,0.7263329706202394,0.2514597852702957,0.9730886522925473,0.3735833216734294,0.07658333333333334,503,3974,20373.0,0.848875
0.66,0.7284991568296796,0.2441137690713882,0.974158685998609,0.3656884875846501,0.074125,483,4013,20548.0,0.8561666666666666
0.665,0.7322053675612602,0.23639103409304954,0.975442726445883,0.357397123736295,0.07141666666666667,459,4054,20729.0,0.8637083333333333
0.67,0.7311178247734139,0.22791486155584856,0.9761917500401263,0.3475014359563469,0.06895833333333333,445,4099,20940.0,0.8725
0.675,0.7367758186397985,0.22038048596722545,0.9776362955433097,0.3392779469334493,0.06616666666666667,418,4139,21113.0,0.8797083333333333
0.68,0.7434383202099738,0.2134111885477491,0.979080841046493,0.3316259329723401,0.0635,391,4176,21271.0,0.8862916666666667
0.685,0.7480809490579204,0.2019212657750989,0.9806858916055856,0.3180065262533373,0.059708333333333335,361,4237,21546.0,0.89775
0.6900000000000001,0.7546746447270007,0.19005462422301753,0.9824514472205874,0.3036412879927776,0.05570833333333333,328,4300,21828.0,0.9095
0.6950000000000001,0.7600950118764845,0.18082501412695423,0.9837889893531646,0.29214850882531956,0.052625,303,4349,22048.0,0.9186666666666666
0.7000000000000001,0.7638655462184873,0.17121868525145978,0.9849660264298326,0.2797353438990614,0.04958333333333333,281,4400,22281.0,0.928375
0.7050000000000001,0.7758164165931156,0.16556790355999246,0.9864105719330158,0.2728966159577771,0.04720833333333333,254,4430,22404.0,0.9335
0.7100000000000001,0.7790157845868152,0.15803352797136938,0.9872665988978653,0.2627622925148763,0.044875,238,4470,22588.0,0.9411666666666667
0.7150000000000001,0.7865055387713998,0.1471086833678659,0.9886576427157455,0.24785782291336084,0.041375,212,4528,22852.0,0.9521666666666667
0.7200000000000001,0.790547798066595,0.1386325108306649,0.989567171365898,0.2358974358974359,0.03879166666666667,195,4573,23060.0,0.9608333333333333
